WV;l;{ts '2016-11-09 15:25:15'}
WV577311108;Clinton;Hillary;|WV570481108;Trump;Donald;|WV577321108;Johnson;Gary;|WV577671108;Stein;Jill;|WV577831108;Castle;Darrell;|WV570601108;Justice;Jim;|WV570581108;Cole;Bill;|WV577621108;Pritt;Charlotte;|WV577841108;Hudok;Phil;|WV577341108;Moran;David;|WV570821108;Manypenny;Mike;|WV567401108;McKinley;David;|WV570841108;Hunt;Mark;|WV567381108;Mooney;Alex;|WV570911108;Detch;Matt;|WV567391108;Jenkins;Evan;|WV577331108;Lawhorn;Zane;
WV;P;G;54065;Morgan;;100.0;X;;0;;||WV577311108;Dem;1568;20.5;;X;;;1|WV570481108;GOP;5718;74.9;;X;;;2|WV577321108;Lib;208;2.7;;X;;;3|WV577671108;Mnt;103;1.3;;X;;;4|WV577831108;CST;38;0.5;;X;;;5
WV;P;G;54067;Nicholas;;100.0;X;;0;;||WV577311108;Dem;1821;19.4;;X;;;1|WV570481108;GOP;7169;76.4;;X;;;2|WV577321108;Lib;279;3.0;;X;;;3|WV577671108;Mnt;82;0.9;;X;;;4|WV577831108;CST;34;0.4;;X;;;5
WV;P;G;54069;Ohio;;100.0;X;;0;;||WV577311108;Dem;5452;30.6;;X;;;1|WV570481108;GOP;11077;62.2;;X;;;2|WV577321108;Lib;738;4.1;;X;;;3|WV577671108;Mnt;382;2.1;;X;;;4|WV577831108;CST;170;1.0;;X;;;5
WV;P;G;54071;Pendleton;;100.0;X;;0;;||WV577311108;Dem;726;22.6;;X;;;1|WV570481108;GOP;2388;74.3;;X;;;2|WV577321108;Lib;73;2.3;;X;;;3|WV577671108;Mnt;18;0.6;;X;;;4|WV577831108;CST;7;0.2;;X;;;5
WV;P;G;54073;Pleasants;;100.0;X;;0;;||WV577311108;Dem;620;19.8;;X;;;1|WV570481108;GOP;2342;74.8;;X;;;2|WV577321108;Lib;120;3.8;;X;;;3|WV577671108;Mnt;20;0.6;;X;;;4|WV577831108;CST;28;0.9;;X;;;5
WV;P;G;54075;Pocahontas;;100.0;X;;0;;||WV577311108;Dem;924;25.5;;X;;;1|WV570481108;GOP;2474;68.4;;X;;;2|WV577321108;Lib;149;4.1;;X;;;3|WV577671108;Mnt;57;1.6;;X;;;4|WV577831108;CST;15;0.4;;X;;;5
WV;P;G;54077;Preston;;100.0;X;;0;;||WV577311108;Dem;2462;19.5;;X;;;1|WV570481108;GOP;9501;75.3;;X;;;2|WV577321108;Lib;427;3.4;;X;;;3|WV577671108;Mnt;130;1.0;;X;;;4|WV577831108;CST;91;0.7;;X;;;5
WV;P;G;54079;Putnam;;100.0;X;;0;;||WV577311108;Dem;5784;23.7;;X;;;1|WV570481108;GOP;17455;71.4;;X;;;2|WV577321108;Lib;811;3.3;;X;;;3|WV577671108;Mnt;262;1.1;;X;;;4|WV577831108;CST;131;0.5;;X;;;5
WV;P;G;54081;Raleigh;;100.0;X;;0;;||WV577311108;Dem;6362;21.7;;X;;;1|WV570481108;GOP;21835;74.5;;X;;;2|WV577321108;Lib;675;2.3;;X;;;3|WV577671108;Mnt;252;0.9;;X;;;4|WV577831108;CST;187;0.6;;X;;;5
WV;P;G;54083;Randolph;;100.0;X;;0;;||WV577311108;Dem;2724;25.2;;X;;;1|WV570481108;GOP;7583;70.1;;X;;;2|WV577321108;Lib;338;3.1;;X;;;3|WV577671108;Mnt;93;0.9;;X;;;4|WV577831108;CST;78;0.7;;X;;;5
WV;P;G;54085;Ritchie;;100.0;X;;0;;||WV577311108;Dem;490;12.1;;X;;;1|WV570481108;GOP;3376;83.6;;X;;;2|WV577321108;Lib;105;2.6;;X;;;3|WV577671108;Mnt;40;1.0;;X;;;4|WV577831108;CST;29;0.7;;X;;;5
WV;P;G;54087;Roane;;100.0;X;;0;;||WV577311108;Dem;1220;23.3;;X;;;1|WV570481108;GOP;3772;72.1;;X;;;2|WV577321108;Lib;141;2.7;;X;;;3|WV577671108;Mnt;65;1.2;;X;;;4|WV577831108;CST;36;0.7;;X;;;5
WV;P;G;54089;Summers;;100.0;X;;0;;||WV577311108;Dem;1186;24.5;;X;;;1|WV570481108;GOP;3444;71.1;;X;;;2|WV577321108;Lib;137;2.8;;X;;;3|WV577671108;Mnt;57;1.2;;X;;;4|WV577831108;CST;23;0.5;;X;;;5
WV;P;G;54091;Taylor;;100.0;X;;0;;||WV577311108;Dem;1483;22.8;;X;;;1|WV570481108;GOP;4701;72.3;;X;;;2|WV577321108;Lib;194;3.0;;X;;;3|WV577671108;Mnt;77;1.2;;X;;;4|WV577831108;CST;43;0.7;;X;;;5
WV;P;G;54093;Tucker;;100.0;X;;0;;||WV577311108;Dem;750;21.7;;X;;;1|WV570481108;GOP;2557;73.8;;X;;;2|WV577321108;Lib;101;2.9;;X;;;3|WV577671108;Mnt;46;1.3;;X;;;4|WV577831108;CST;10;0.3;;X;;;5
WV;P;G;54095;Tyler;;100.0;X;;0;;||WV577311108;Dem;505;13.9;;X;;;1|WV570481108;GOP;2967;81.9;;X;;;2|WV577321108;Lib;102;2.8;;X;;;3|WV577671108;Mnt;25;0.7;;X;;;4|WV577831108;CST;22;0.6;;X;;;5
WV;P;G;54097;Upshur;;100.0;X;;0;;||WV577311108;Dem;1763;19.2;;X;;;1|WV570481108;GOP;6971;75.9;;X;;;2|WV577321108;Lib;310;3.4;;X;;;3|WV577671108;Mnt;88;1.0;;X;;;4|WV577831108;CST;48;0.5;;X;;;5
WV;P;G;54099;Wayne;;100.0;X;;0;;||WV577311108;Dem;3334;22.1;;X;;;1|WV570481108;GOP;11077;73.5;;X;;;2|WV577321108;Lib;420;2.8;;X;;;3|WV577671108;Mnt;119;0.8;;X;;;4|WV577831108;CST;130;0.9;;X;;;5
WV;P;G;54101;Webster;;100.0;X;;0;;||WV577311108;Dem;554;18.7;;X;;;1|WV570481108;GOP;2284;77.3;;X;;;2|WV577321108;Lib;79;2.7;;X;;;3|WV577671108;Mnt;30;1.0;;X;;;4|WV577831108;CST;8;0.3;;X;;;5
WV;P;G;54103;Wetzel;;100.0;X;;0;;||WV577311108;Dem;1348;21.8;;X;;;1|WV570481108;GOP;4461;72.1;;X;;;2|WV577321108;Lib;242;3.9;;X;;;3|WV577671108;Mnt;65;1.0;;X;;;4|WV577831108;CST;75;1.2;;X;;;5
WV;P;G;54105;Wirt;;100.0;X;;0;;||WV577311108;Dem;383;15.9;;X;;;1|WV570481108;GOP;1903;79.0;;X;;;2|WV577321108;Lib;84;3.5;;X;;;3|WV577671108;Mnt;23;1.0;;X;;;4|WV577831108;CST;17;0.7;;X;;;5
WV;P;G;54107;Wood;;100.0;X;;0;;||WV577311108;Dem;8327;23.6;;X;;;1|WV570481108;GOP;25168;71.4;;X;;;2|WV577321108;Lib;1251;3.5;;X;;;3|WV577671108;Mnt;367;1.0;;X;;;4|WV577831108;CST;143;0.4;;X;;;5
WV;P;G;54109;Wyoming;;100.0;X;;0;;||WV577311108;Dem;1061;13.6;;X;;;1|WV570481108;GOP;6527;83.6;;X;;;2|WV577321108;Lib;136;1.7;;X;;;3|WV577671108;Mnt;38;0.5;;X;;;4|WV577831108;CST;47;0.6;;X;;;5
WV;H;G;0;1;;100.0;;;49273;;||WV570821108;Dem;73025;31.0;;X;;;1|WV567401108;GOP;162339;69.0;X;X;X;;2
WV;H;G;0;2;;100.0;;;49274;;||WV570841108;Dem;100551;41.8;;X;;;1|WV567381108;GOP;140153;58.2;X;X;X;;2
